title,price,taste,brand,description,spirit_style,state
AnCnoc Blas,67.99,None,AnCnoc," Highlands, Scotland - This Limited Edition expression has matured in Spanish and American oak, and has been bottled in its most natural form, neither chill-filtered nor colored. Sip neat and enjoy. ",Single Malt,Highland
AnCnoc Cutter Single Malt,52.99,None,AnCnoc," Scotland - On the palate: smoky intensity with ashy overtones, a slight apple-core bitterness and a spicy vanilla heart. This is a richly phenolic whisky for the seasoned peat-lovers or those looking to shine light on their dark side of flavor and experience a truly peaty dram. Enjoy! ",Single Malt,
AnCnoc Peter Arkle,69.99,None,AnCnoc," Scotland- A vatting of Fino Sherry matured AnCnoc between 6 and 12 years old. Sweet sherry and baking spice on the nose. Rich, baked apple and barley sugar on the palate. Lingering finish with milk chocolate and sherry spice. Special Release. ",Single Malt,Highland
AnCnoc Peter Arkle 2nd Edition,65.99,None,AnCnoc, Scotland- The second release from the limited edition collaborations of Knockdhu Distillery and Scottish illustrator Peter Arkle. Aromas of sweet vanilla with notes of rich and spicy toffee that lead into flavors of baked apple and spices reminiscent of apple pie. Enjoy on its own. ,Single Malt,Highland
AnCnoc Peter Arkle 3rd Edition,75.99,None,AnCnoc," Scotland- Notes of honey and lemon accompanied by apples and sweet vanilla on the nose. Spicy flavor with notes of vibrant citrus, sherry and dark chocolate that finishes long and smooth with notes of oranges and sherry. Enjoy on the rocks! ",Single Malt,Highland
AnCnoc Peter Arkle 4th Edition,69.99,None,AnCnoc," Highland, Scotland - Polished gold color. to the nose, top notes of cut flowers and lemon meringue. It opems up honey sweetness, creamy vanilla and a toouch of sherry spice. Rich and firm-textured, sweet flavors of raisins and honey, followed by orange peel and hot toffee. ",Single Malt,Highland
AnCnoc Rutter Single Malt,51.99,None,AnCnoc," Highlands, Scotland - The apple now becomes fruity boiled sweets, and on into bubblegum, all sat on a cloud of smoke. Slightly chocolaty too. It can be enjoyed neat, with water, with ice or mixed. ",Single Malt,Highland
Annasach Reserve 25 Yr,299.99, Rich . Vanilla . Dried Fruit . Smoke . Long ,Annasach," Scotland - The nose is reminiscent of Christmas spice with dried fruits, caramelized sugar and vanilla with just a whiff of bonfire smoke. The palate is velvety smooth with oaky notes and zesty citrus. The finish is slightly dry and lingers a while. Sip neat or with a splash of water. ",Blended Scotch,
Antiquary 12,26.99,None,Antiquary," Highlands, Scotland- A balance of fruity and malty aromas reflects the significant use of fine Speyside malts in this blend. The taste contains a subtle fruitiness with a hint of apples. Smooth, with depth of flavor and a long aftertaste. ",Single Malt,
Ardbeg 10yr,59.99, Intense . Smoke . Peat . Long ,Ardbeg," Islay, Scotland- Ardbeg 10 year old Single Malt Scotch Whisky has strong peat overtones, tobacco and coffee notes. Beautifully balanced, complex and deep, with a long and smokey finish. Rated World Whiskey of the Year and The Scotch Whiskey of the Year- Jim Murray's Whiskey Bible 2008 ",Single Malt,Islay & Islands
Ardbeg 10Yr Warehouse Gift,50.99,None,Ardbeg," Islay, Scotland- Ardbeg 10 year old Single Malt Scotch Whisky has strong peat overtones, tobacco and coffee notes. Beautifully balanced, complex and deep, with a long and smokey finish. Holiday gift comes in a beautifully made Ardbeg warehouse box. ",Single Malt,Islay & Islands
Ardbeg 21Yr Single Malt,589.99, Intense . Smoke . Pepper . Toffee . Complex ,Ardbeg," Islay & Islands, Scotland- A beautiful, sumptuous but curious mix of tarry smoke, Ardbeg ice cream and black pepper. Some green leafy herbal top notes are then discovered in the form of fennel and basil. A splash of water releases sweet toffee, popcorn and buttery oak. ",Single Malt,Islay & Islands
Ardbeg An Oa,49.99,None,Ardbeg," Islay, Scotland- 2017 #6 Whiskey of the Year from Whiskey Advocate. Soft, smooth tastes of butterscotch, a devilish and deliciously sweet silkiness born of new charred oak and Pedro Ximenez sherry casks. Punctured with hints of clove and tiny stings of black pepper. ",Single Malt,Islay & Islands
Ardbeg Auriverde,119.99,None,Ardbed Auriverde," Islay, Scotland - The nose gives smoked bacon, vanilla, pomegranates, fizzy-sweets and lemon-zest. The palate is initially sweet and progresses with peat. The finish is long with hints of cocoa. Sip neat. ",Single Malt,
Ardbeg Corryvreckan Single Malt,84.99,None,Ardbeg," Islay, Scotland- A deliciously deep, powerfully peaty and wonderfully wild whisky. Has strong peat overtones, nuanced by tobacco and coffee notes, with a long and smokey finish. ",Single Malt,
Ardbeg Grooves,129.99,None,Ardbeg," Scotland- Ardbeg Grooves, a whisky that has been laid down in wine casks, intensely charred to produce heavy grooves on the surface of the wood. The result is a whisky aromatic with smoked spices and distant bonfires, sweet vibes of vanilla popcorn and smoky soot. ",Single Malt,Islay & Islands
Ardbeg Grooves Committee Release,159.99,None,Ardbeg," Scotland- A whisky that has been laid down in wine casks, intensely charred to produce heavy grooves on the surface of the wood. The result is a whisky aromatic with smoked spices and distant bonfires, sweet vibes of vanilla popcorn fading into a mellow haze of apples and smoked pear ",Single Malt,Islay & Islands
Ardbeg Kelpie,129.99,None,Ardbeg," Scotland- Aged in rare virgin oak casks from the Black Sea region and non-chill filtered. Incredible depth and complexity are revealed through notes of oily peat, dark chocolate, and waves of seaweed. The intense aromas are followed by a peppery mouthfeel and deep, long finish. ",Single Malt,Islay & Islands
Ardbeg Kelpie Committee Release,119.99,None,Ardbeg," Scotland- Aged in rare virgin oak casks from the Black Sea region and non-chill filtered. Incredible depth and complexity are revealed through notes of oily peat, dark chocolate, and waves of seaweed. Intense aromas are followed by a peppery mouthfeel and deep, long finish. High proof. ",Single Malt,Islay & Islands
Ardbeg Perpetuum,98.99,None,Ardbeg," Islay, Scotland - Celebrating the 200th anniversary of the Ardbeg distillery, this one time limited release provides a round, full and sweet scotch with a delicate touch of smoke. True to the Ardbeg name, tastes of chocolate and vanilla, with a mellow finish. ",Single Malt,
Ardbeg Quadrant w/ 2 Glasses,60.99,None,Ardbeg," Islay, Scotland - To the nose, a ridge of vanilla leads to mountain of peat capped with citrus fruits and circled by clouds of sea spray. On the palate, sweet vanilla counterbalanced with lemon and lime. The finish is long and glorious; sea salted caramel and beach bonfire smoke. ",Single Malt,Islay & Islands
Ardbeg Twenty Something 23Yr,549.99, Rich . Vanilla . Smoke . Fruit . Balanced ,Ardbeg," Islay, Scotland- This limited edition 23 year old Scotch has initial bursts of vanilla cream, sweet wood smoke, and bubble gum mingle with chocolate. Fresh tropical fruits are infused with deep chocolate and sherry notes. Long finish with herbal notes and a hint of spice. ",Single Malt,Islay & Islands
Ardbeg Uigeadail,75.99, Intense . Peat . Smoke . Long ,Ardbeg," Islay, Scotland- A marriage of Ardbeg from bourbon barrel and sherry butt which gives a sweet and smokey finish to this malt bottled at cask strength. Uigeadail is the name of the loch from which all Ardbeg water flows. ",Single Malt,Islay & Islands
Ardbeg w/ 2 glasses,50.99,None,Ardbeg," Islay, Scotland - To the nose, a burst of intense smoky fruit escapes into the atmosphere - peat infused with zesty lemon and lime, wrapped in waxy dark chocolate. The peat effervesces with tangy lemon and lime juice, black pepper pops with sizzling cinnamon-spiced toffee. ",Single Malt,
Ardberg Single Malt Scotch Double Barrel,19999.99, Intense . Smoke . Vanilla . Oak . Balanced ,Ardbeg," Scotland- Ardbeg Double Barrel is something pretty special. This leather case from Purdey and Sons contains a two single cask Ardbergs from 1974, both bottled at cask strength and packaged in hand-blown bottles with sterling silver labels. ",Single Malt,Islay & Islands
Ardmore Single Malt,47.99, Rich . Tobacco . Spice . Long ,Ardmore," Highland, Scotland- Sweet tobacco, chocolate, orange and spice with gentle notes of peat all the way along with wonderful malty tones. Subtle but complex in the mouth with lively flow and loads of emerging flavors. ",Single Malt,Highland
Armorik Single Malt Whisky,59.99,None,,,,
Arran 10 Yr Malt,53.99,None,Arran," Isle of Arran, Scotland- Sweet and fruity aroma full with vanilla, kiwi, melon and banana, against a malty flavor beginning with spicy cinnamon leading into a citrus ending. Smooth texture coats the tongue as it goes down. ",Single Malt,
Arran 10 Yr w/ Glass,46.99,None,Arran," Isle of Arran, Scotland- Sweet and fruity aroma full with vanilla, kiwi, melon and banana, against a malty flavor beginning with spicy cinnamon leading into a citrus ending. Smooth texture coats the tongue as it goes down. A great gift for a Scotch lover. Enjoy! ",Single Malt,
Arran 14 Yr,59.99,None,Arran," Whisky Advocate-Isle of Arran, Scotland- ""Very fragrant and perfumed on the nose with peaches, brandy, and ginger snaps, plus vanilla and mild oak. Smooth and creamy on the palate, with spicy summer fruits, apricots, and hazelnuts. Lingering finish is spicy and slowly drying with just a hint of salt."" ",Single Malt,
Arran Amarone Cask Finish,79.99,None,Arran," Isle of Arran, Scotland - Dark chocolate, cherry and Turkish delights are evident as are stewed fruits and toffee. Muscular notes of dark plum wrestle with bitter-sweet apricots and a hint of cinnamon. The finish is a well-balanced and elegant. This malt delivers on all levels. ",Single Malt,
Arran Illicit Still Smuggler Edition,149.99,None,Arran," Isle of Arran, Scotland- Aromas of subtle peat, floral notes, sweetness, and maritime oiliness promising rich mouthfeel. Juicy plums spiced with white pepper on the palate followed by freshly sawed pine, pink wafer biscuts and a blast of spice. Salty, maritime notes on the finish. ",Single Malt,Islay & Islands
Arran Lochranza Reserve,37.99,None,Arran," Islay, Scotland- A citrusy, light and elegant no-age statement single malt Scotch whisky from the distillery on the Isle of Arran. Notes of green apples, lemon peel and milk chocolate. The palate is salty, balanced with plenty of juicy citrus and toffee. The finish is relaxed and creamy ",Single Malt,Islay & Islands
Arran Machrie Moor Single Malt Scotch,69.99,None,Arran," Isle of Arran, Scotland- Aromas of vanilla, honey, citrus and unripe plums give way to more robust malty barley grains and sweet, earthy peat smoke. The finish becomes hot, peppery and slightly dry right at the end. Enjoy on the rocks or add to your favorite cocktail. ",Single Malt,
Arran Port Cask Finish 100 Proof,69.99,None,Arran," Isle of Arran, Scotland- A classic Single Malt with a punch that dances on the palate with layered fruits and spices that has a variety of flavors. With all the sweetness that shines through the layers of complexity within you can enjoy in a mixed drink. ",Single Malt,
Arran Sauternes Cask Finish 100 Proof,64.99,None,Arran," Isle of Arran, Scotland- Has the color of gold bullion which brings the sweet taste of honeysuckle, melon and marzipan with a spicy edge to add balance. A glorious combination of voluptuous Sauternes and snake hipped Arran Malt a richly rewarding partnership. ",Single Malt,
Arran Single Sherry Cask,92.99,None,Arran," Isle of Arran, Scotland - Predominantly fruity - the sherry cask is obvious, but it's not heavy or dominant. Clean, bright orchard fruit blends in nicely with strawberry rhubarb pie, light toffee, dates , dark chocolate and polished oak. Long, soothing, oily finish. ",Single Malt,
Auchentoshan 12 Yr,39.99, Rich . Citrus . Oak . Balanced ,Auchentoshan," Lowlands, Scotland- Has aromas of creme brulee with a burst of citrus and the signature nuttiness and green leafiness of Auchentoshan. Palate is smooth and sweet with hints of tangerine and lime. Finishes gingery and slightly drying with a pleasant lingering nuttiness. ",Single Malt,Lowland
Auchentoshan 18yr,129.99, Rich . Citrus . Malt . Long ,," Lowlands, Scotland- ""Each sip starts out sweet before moving immediately into the tart freshness of red fruit and blueberry juice. Tart gives way to malty nuttiness, with hints of toasted almonds and bran muffins providing a warm finish. Each sip is well-balanced, with good depth."" ",Single Malt,
Auchentoshan 21yr,179.99, Rich . Vanilla . Citrus . Long ,Auchentoshan," Lowland, Scotland- ""This smooth, triple distilled Scotch Whiskey is soft on the nose, evoking memories of warm grass on a summer's day or the fresh smells of pastries with a whiff of vanilla. The finish offers a taste of citrus mixed with cedar and oak - perfect after a good meal."" ",Single Malt,Lowland
